ticker,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
AAPL,310.06,311.77,304.88,308.95,40485005.0
AMZN,1820.0,1841.0,1815.34,1828.34,3528509.0
FB,213.1,216.06,212.5,214.87,13810655.0
GOOG,1431.0,1438.07,1421.2,1433.9,1755201.0
MSFT,161.15,163.375,160.2,162.28,32078067.0
NFLX,345.95,351.9,341.02,342.88,7709482.0
TSLA,541.99,564.44,539.28,558.02,13608068.0
AAPL,312.6,318.4,312.19,317.69,40558486.0
AMZN,1840.5,1858.11,1830.02,1853.25,2808040.0
FB,216.14,218.74,213.52,217.79,13413835.0
GOOG,1443.0,1456.0,1432.47,1452.56,1577422.0
MSFT,163.78,165.755,163.07299999999998,165.46,24899940.0
NFLX,345.88,352.4,342.78,348.52,6821581.0
TSLA,568.49,576.81,558.08,566.9,11788493.0
AAPL,324.45,327.85,321.38,324.34,54149928.0
AMZN,1864.0,1874.75,1855.02,1858.0,2101390.0
FB,221.44,224.2,218.45,223.23,33610005.0
GOOG,1458.8,1465.43,1446.74,1458.63,1078667.0
MSFT,167.84,168.75,165.69,168.04,35127771.0
NFLX,349.0,349.4,338.55,343.16,7649183.0
TSLA,575.69,589.8,567.43,580.99,18216672.0
AAPL,320.54400000000004,324.09,318.75,323.87,31685808.0
AMZN,1858.0,1872.87,1850.61,1870.68,6327438.0
FB,206.53,211.43,204.75,209.53,48775500.0
GOOG,1439.96,1457.28,1436.4,1455.84,1339421.0
MSFT,174.05,174.05,170.79,172.78,51597470.0
NFLX,341.1,348.2,339.25,347.74,5328136.0
TSLA,632.42,650.88,618.0,640.81,29005676.0
AAPL,320.93,322.68,308.29,309.51,49897096.0
AMZN,2051.47,2055.72,2002.27,2008.72,15567283.0
FB,208.43,208.69,201.06,201.91,31359917.0
GOOG,1468.9,1470.13,1428.53,1434.23,2417214.0
MSFT,172.21,172.4,169.58,170.23,36142690.0
NFLX,347.39,347.39,340.98,345.09,5230001.0
TSLA,640.0,653.0,632.52,650.57,15719266.0
AAPL,304.3,313.49,302.22,308.66,43496401.0
AMZN,2010.6,2048.5,2000.25,2004.2,5899094.0
FB,203.44,205.14,202.5,204.19,15510509.0
GOOG,1462.0,1490.0,1458.99,1485.94,3055216.0
MSFT,170.43,174.5,170.4,174.38,30149052.0
NFLX,347.24,359.63,346.28,358.0,6674885.0
TSLA,673.69,786.14,673.52,780.0,47233495.0
AAPL,315.31,319.64,313.635,318.85,34154134.0
AMZN,2029.88,2059.8,2015.37,2049.67,5289338.0
FB,206.61700000000002,210.6,205.202,209.83,19628890.0
GOOG,1457.07,1469.5,1426.3,1447.07,3932954.0
MSFT,177.14,180.64,176.31,180.12,36433339.0
NFLX,361.0,369.57,356.096,369.01,7161451.0
TSLA,882.96,968.99,833.88,887.06,60938758.0
AAPL,323.52,324.76,318.95,321.45,29706718.0
AMZN,2071.02,2071.02,2032.0,2039.87,4376174.0
FB,212.51,212.73,208.71,210.11,12538154.0
GOOG,1462.42,1463.84,1430.56,1448.23,1986157.0
MSFT,184.03,184.2,178.4101,179.9,39186324.0
NFLX,375.125,375.25,362.3,369.67,6437026.0
TSLA,823.26,845.98,704.1110000000001,734.7,48423837.0
AAPL,322.57,325.22,320.265,325.21,26356385.0
AMZN,2041.02,2056.3,2024.8,2050.23,3182954.0
FB,210.47,211.19,209.338,210.85,10567533.0
GOOG,1450.33,1482.0,1449.57,1476.23,1679384.0
MSFT,180.97,183.8199,180.05900000000003,183.63,27751381.0
NFLX,369.6,371.55,362.505,366.95,3920428.0
TSLA,699.92,795.83,687.0,748.96,39880752.0
AAPL,322.37,323.4,318.0,320.03,29421012.0
AMZN,2041.99,2098.53,2038.1,2079.28,5095347.0
FB,210.3,212.82,209.93,212.33,12242530.0
GOOG,1467.3,1485.84,1466.35,1479.23,1172270.0
MSFT,182.845,185.63,182.48,183.89,33529074.0
NFLX,365.04,371.8,363.57,366.77,4385227.0
TSLA,730.55,769.75,730.0,748.07,17063521.0
AAPL,314.18,321.55,313.85,321.55,27337215.0
AMZN,2085.01,2135.6,2084.96,2133.91,5056235.0
FB,211.52,213.8,210.66,213.06,11856350.0
GOOG,1474.32,1509.5,1474.32,1508.68,1419876.0
MSFT,183.58,188.84,183.25,188.7,35844267.0
NFLX,365.0,374.8,362.52,371.07,5294138.0
TSLA,800.0,819.99,752.4,771.28,24689163.0
AAPL,323.6,323.9,318.71,319.61,23580780.0
AMZN,2150.9,2185.95,2136.0,2150.8,5746011.0
FB,210.19,210.86,206.51,207.19,25030810.0
GOOG,1511.81,1529.63,1505.638,1508.79,1344633.0
MSFT,190.65,190.7,183.5,184.44,53159906.0
NFLX,373.75,378.11,369.72,373.69,4772870.0
TSLA,768.79,783.5060000000001,758.0,774.38,11697473.0
AAPL,321.47,327.22,321.47,327.2,28432573.0
AMZN,2163.2,2180.25,2155.29,2160.0,3334264.0
FB,207.85,211.22,207.4,210.76,13813704.0
GOOG,1514.48,1520.695,1508.11,1518.27,1167565.0
MSFT,185.58,185.85,181.85,184.71,47062921.0
NFLX,377.18,380.62,375.88,380.01,4624772.0
TSLA,777.87,789.75,763.37,767.29,12022470.0
AAPL,324.19,326.22,323.35,324.87,23686892.0
AMZN,2144.99,2170.28,2142.0,2149.87,3031791.0
FB,209.524,214.326,209.18,213.14,15396625.0
GOOG,1512.69,1527.18,1504.6,1514.66,929730.0
MSFT,183.08,186.23,182.872,183.71,35295834.0
NFLX,376.96,385.37,376.51,381.4,4485383.0
TSLA,741.84,818.0,735.0,804.0,26289348.0
AAPL,324.74,325.98,322.85,324.95,20028447.0
AMZN,2155.68,2159.035,2125.89,2134.87,2606169.0
FB,214.0,214.93,212.65,214.18,10741747.0
GOOG,1515.6,1520.74,1507.34,1520.74,1197836.0
MSFT,183.25,185.41,182.65,185.35,23149516.0
NFLX,381.47,385.15,379.434,380.4,3736266.0
TSLA,787.22,812.97,785.5,800.03,15693711.0
